case_id,site_id,product_id,case_date,qty_required,case_status
1,1,1,2025-08-16,1,Fulfilled
2,1,8,2025-08-09,1,Fulfilled
3,1,5,2025-08-02,2,Fulfilled
4,1,3,2025-08-19,3,Fulfilled
5,1,2,2025-08-13,3,Fulfilled
6,1,8,2025-08-08,2,Fulfilled
7,1,1,2025-08-23,1,Delayed
8,1,1,2025-08-25,2,Fulfilled
9,1,1,2025-08-10,1,Fulfilled
10,1,6,2025-08-09,2,Fulfilled
11,1,6,2025-09-18,2,Fulfilled
12,1,8,2025-09-27,1,Fulfilled
13,1,2,2025-09-17,1,Fulfilled
14,1,3,2025-09-27,3,Fulfilled
15,1,2,2025-10-08,3,Fulfilled
16,1,3,2025-10-26,1,Fulfilled
17,1,8,2025-10-15,2,Fulfilled
18,1,1,2025-10-12,3,Fulfilled
19,1,2,2025-11-24,2,Fulfilled
20,1,6,2025-11-24,2,Fulfilled
21,1,5,2025-11-05,3,Fulfilled
22,1,3,2025-11-15,3,Fulfilled
23,1,2,2025-11-06,3,Fulfilled
24,1,2,2025-11-08,1,Fulfilled
25,1,2,2025-11-01,2,Fulfilled
26,1,8,2025-11-21,1,Fulfilled
27,1,6,2025-11-21,2,Fulfilled
28,1,1,2025-11-04,1,Fulfilled
29,1,6,2025-11-24,2,Fulfilled
30,1,5,2025-11-09,1,Fulfilled
31,1,1,2025-12-24,3,Fulfilled
32,1,1,2025-12-07,1,Fulfilled
33,1,5,2025-12-09,3,Fulfilled
34,1,2,2025-12-20,1,Fulfilled
35,1,3,2025-12-21,3,Fulfilled
36,1,8,2025-12-01,3,Fulfilled
37,1,1,2025-12-19,3,Fulfilled
38,1,2,2025-12-19,2,Fulfilled
39,1,6,2025-12-18,2,Fulfilled
40,1,1,2025-12-04,2,Fulfilled
41,1,3,2025-12-24,2,Fulfilled
42,1,8,2026-01-02,3,Fulfilled
43,1,8,2026-01-19,3,Fulfilled
44,1,8,2026-01-08,2,Delayed
45,1,5,2026-01-04,1,Fulfilled
46,1,5,2026-02-13,1,Fulfilled
47,1,6,2026-02-19,2,Fulfilled
48,1,3,2026-02-24,3,Fulfilled
49,1,6,2026-02-01,2,Fulfilled
50,1,1,2026-02-27,3,Fulfilled
51,1,5,2026-02-22,3,Fulfilled
52,1,1,2026-02-27,2,Fulfilled
53,1,6,2026-02-15,2,Fulfilled
54,1,1,2026-02-03,1,Fulfilled
55,1,2,2026-02-10,3,Fulfilled
56,1,5,2026-03-23,1,Fulfilled
57,1,2,2026-03-16,2,Fulfilled
58,1,3,2026-03-22,2,Fulfilled
59,1,6,2026-03-19,3,Fulfilled
60,1,6,2026-03-14,1,Fulfilled
61,1,3,2026-03-05,2,Fulfilled
62,1,2,2026-03-14,3,Fulfilled
63,1,3,2026-03-11,1,Delayed
64,1,5,2026-03-12,3,Fulfilled
65,1,2,2026-03-01,1,Fulfilled
66,1,8,2026-03-25,2,Delayed
67,1,1,2026-04-19,2,Fulfilled
68,1,2,2026-04-25,3,Fulfilled
69,1,5,2026-04-27,1,Fulfilled
70,1,8,2026-04-02,1,Fulfilled
71,1,6,2026-04-09,3,Fulfilled
72,1,1,2026-04-13,1,Fulfilled
73,1,1,2026-04-14,2,Fulfilled
74,1,2,2026-05-18,3,Fulfilled
75,1,1,2026-05-18,1,Fulfilled
76,1,1,2026-05-09,3,Fulfilled
77,1,5,2026-05-10,1,Fulfilled
78,1,5,2026-05-09,2,Fulfilled
79,1,6,2026-05-26,2,Fulfilled
80,1,3,2026-05-19,1,Fulfilled
81,1,2,2026-05-15,1,Fulfilled
82,1,5,2026-05-13,1,Fulfilled
83,1,5,2026-06-27,2,Fulfilled
84,1,5,2026-06-21,1,Fulfilled
85,1,5,2026-06-23,1,Fulfilled
86,1,8,2026-06-19,1,Fulfilled
87,1,3,2026-06-24,3,Fulfilled
88,1,3,2026-06-27,1,Fulfilled
89,1,1,2026-06-19,1,Fulfilled
90,1,8,2026-07-03,1,Fulfilled
91,1,3,2026-07-18,2,Fulfilled
92,1,6,2026-07-24,2,Fulfilled
93,1,6,2026-07-13,1,Fulfilled
94,1,5,2026-07-08,3,Delayed
95,1,6,2026-07-02,1,Fulfilled
