demand_id,site_id,product_id,usage_month,qty_used
1,1,12,2025-08-01,1
2,1,12,2025-09-01,1
3,1,12,2025-10-01,1
4,1,12,2025-11-01,1
5,1,12,2025-12-01,1
6,1,12,2026-01-01,1
7,1,12,2026-02-01,1
8,1,12,2026-03-01,1
9,1,12,2026-04-01,1
10,1,12,2026-05-01,1
11,1,12,2026-06-01,1
12,1,12,2026-07-01,1
13,1,21,2025-08-01,13
14,1,21,2025-09-01,7
15,1,21,2025-10-01,4
16,1,21,2025-11-01,5
17,1,21,2025-12-01,7
18,1,21,2026-01-01,13
19,1,21,2026-02-01,8
20,1,21,2026-03-01,7
21,1,21,2026-04-01,6
22,1,21,2026-05-01,5
23,1,21,2026-06-01,10
24,1,21,2026-07-01,8
25,1,3,2025-08-01,2
26,1,3,2025-09-01,2
27,1,3,2025-10-01,2
28,1,3,2025-11-01,1
29,1,3,2025-12-01,1
30,1,3,2026-01-01,1
31,1,3,2026-02-01,1
32,1,3,2026-03-01,2
33,1,3,2026-04-01,1
34,1,3,2026-05-01,2
35,1,3,2026-06-01,2
36,1,3,2026-07-01,1
37,1,5,2025-08-01,1
38,1,5,2025-09-01,2
39,1,5,2025-10-01,1
40,1,5,2025-11-01,2
41,1,5,2025-12-01,1
42,1,5,2026-01-01,2
43,1,5,2026-02-01,2
44,1,5,2026-03-01,2
45,1,5,2026-04-01,2
46,1,5,2026-05-01,2
47,1,5,2026-06-01,2
48,1,5,2026-07-01,2
49,1,8,2025-08-01,2
50,1,8,2025-09-01,1
51,1,8,2025-10-01,1
52,1,8,2025-11-01,1
53,1,8,2025-12-01,2
54,1,8,2026-01-01,1
55,1,8,2026-02-01,2
56,1,8,2026-03-01,2
57,1,8,2026-04-01,2
58,1,8,2026-05-01,1
59,1,8,2026-06-01,1
60,1,8,2026-07-01,2
61,1,1,2025-08-01,9
62,1,1,2025-09-01,9
63,1,1,2025-10-01,1
64,1,1,2025-11-01,0
65,1,1,2025-12-01,1
66,1,1,2026-01-01,0
67,1,1,2026-02-01,0
68,1,1,2026-03-01,0
69,1,1,2026-04-01,6
70,1,1,2026-05-01,9
71,1,1,2026-06-01,1
72,1,1,2026-07-01,0
73,1,6,2025-08-01,2
74,1,6,2025-09-01,1
75,1,6,2025-10-01,2
76,1,6,2025-11-01,1
77,1,6,2025-12-01,2
78,1,6,2026-01-01,1
79,1,6,2026-02-01,2
80,1,6,2026-03-01,2
81,1,6,2026-04-01,1
82,1,6,2026-05-01,1
83,1,6,2026-06-01,2
84,1,6,2026-07-01,2
85,1,24,2025-08-01,45
86,1,24,2025-09-01,40
87,1,24,2025-10-01,23
88,1,24,2025-11-01,36
89,1,24,2025-12-01,47
90,1,24,2026-01-01,32
91,1,24,2026-02-01,48
92,1,24,2026-03-01,40
93,1,24,2026-04-01,37
94,1,24,2026-05-01,54
95,1,24,2026-06-01,19
96,1,24,2026-07-01,32
97,1,15,2025-08-01,11
98,1,15,2025-09-01,12
99,1,15,2025-10-01,13
100,1,15,2025-11-01,8
101,1,15,2025-12-01,9
102,1,15,2026-01-01,10
103,1,15,2026-02-01,11
104,1,15,2026-03-01,9
105,1,15,2026-04-01,10
106,1,15,2026-05-01,9
107,1,15,2026-06-01,9
108,1,15,2026-07-01,6
109,1,2,2025-08-01,1
110,1,2,2025-09-01,1
111,1,2,2025-10-01,1
112,1,2,2025-11-01,1
113,1,2,2025-12-01,1
114,1,2,2026-01-01,1
115,1,2,2026-02-01,2
116,1,2,2026-03-01,2
117,1,2,2026-04-01,2
118,1,2,2026-05-01,1
119,1,2,2026-06-01,1
120,1,2,2026-07-01,2
121,1,23,2025-08-01,39
122,1,23,2025-09-01,35
123,1,23,2025-10-01,38
124,1,23,2025-11-01,31
125,1,23,2025-12-01,34
126,1,23,2026-01-01,33
127,1,23,2026-02-01,37
128,1,23,2026-03-01,48
129,1,23,2026-04-01,45
130,1,23,2026-05-01,59
131,1,23,2026-06-01,55
132,1,23,2026-07-01,63
133,1,13,2025-08-01,1
134,1,13,2025-09-01,1
135,1,13,2025-10-01,1
136,1,13,2025-11-01,1
137,1,13,2025-12-01,1
138,1,13,2026-01-01,1
139,1,13,2026-02-01,1
140,1,13,2026-03-01,1
141,1,13,2026-04-01,1
142,1,13,2026-05-01,1
143,1,13,2026-06-01,1
144,1,13,2026-07-01,1
145,1,11,2025-08-01,1
146,1,11,2025-09-01,1
147,1,11,2025-10-01,1
148,1,11,2025-11-01,2
149,1,11,2025-12-01,1
150,1,11,2026-01-01,1
151,1,11,2026-02-01,1
152,1,11,2026-03-01,1
153,1,11,2026-04-01,1
154,1,11,2026-05-01,1
155,1,11,2026-06-01,1
156,1,11,2026-07-01,1
157,1,22,2025-08-01,10
158,1,22,2025-09-01,36
159,1,22,2025-10-01,31
160,1,22,2025-11-01,30
161,1,22,2025-12-01,3
162,1,22,2026-01-01,30
163,1,22,2026-02-01,38
164,1,22,2026-03-01,32
165,1,22,2026-04-01,45
166,1,22,2026-05-01,57
167,1,22,2026-06-01,46
168,1,22,2026-07-01,52
169,1,20,2025-08-01,11
170,1,20,2025-09-01,6
171,1,20,2025-10-01,9
172,1,20,2025-11-01,10
173,1,20,2025-12-01,7
174,1,20,2026-01-01,6
175,1,20,2026-02-01,9
176,1,20,2026-03-01,4
177,1,20,2026-04-01,5
178,1,20,2026-05-01,6
179,1,20,2026-06-01,9
180,1,20,2026-07-01,9
181,1,25,2025-08-01,52
182,1,25,2025-09-01,29
183,1,25,2025-10-01,28
184,1,25,2025-11-01,46
185,1,25,2025-12-01,30
186,1,25,2026-01-01,33
187,1,25,2026-02-01,18
188,1,25,2026-03-01,43
189,1,25,2026-04-01,58
190,1,25,2026-05-01,28
191,1,25,2026-06-01,52
192,1,25,2026-07-01,39
193,1,19,2025-08-01,4
194,1,19,2025-09-01,6
195,1,19,2025-10-01,6
196,1,19,2025-11-01,7
197,1,19,2025-12-01,9
198,1,19,2026-01-01,12
199,1,19,2026-02-01,5
200,1,19,2026-03-01,7
201,1,19,2026-04-01,6
202,1,19,2026-05-01,5
203,1,19,2026-06-01,8
204,1,19,2026-07-01,8
205,1,9,2025-08-01,0
206,1,9,2025-09-01,1
207,1,9,2025-10-01,1
208,1,9,2025-11-01,1
209,1,9,2025-12-01,1
210,1,9,2026-01-01,1
211,1,9,2026-02-01,1
212,1,9,2026-03-01,1
213,1,9,2026-04-01,1
214,1,9,2026-05-01,1
215,1,9,2026-06-01,1
216,1,9,2026-07-01,1
217,1,16,2025-08-01,9
218,1,16,2025-09-01,5
219,1,16,2025-10-01,6
220,1,16,2025-11-01,10
221,1,16,2025-12-01,10
222,1,16,2026-01-01,8
223,1,16,2026-02-01,12
224,1,16,2026-03-01,9
225,1,16,2026-04-01,7
226,1,16,2026-05-01,5
227,1,16,2026-06-01,11
228,1,16,2026-07-01,10
229,2,20,2025-08-01,12
230,2,20,2025-09-01,13
231,2,20,2025-10-01,5
232,2,20,2025-11-01,5
233,2,20,2025-12-01,1
234,2,20,2026-01-01,10
235,2,20,2026-02-01,10
236,2,20,2026-03-01,8
237,2,20,2026-04-01,5
238,2,20,2026-05-01,8
239,2,20,2026-06-01,8
240,2,20,2026-07-01,10
241,2,14,2025-08-01,1
242,2,14,2025-09-01,1
243,2,14,2025-10-01,1
244,2,14,2025-11-01,1
245,2,14,2025-12-01,1
246,2,14,2026-01-01,1
247,2,14,2026-02-01,1
248,2,14,2026-03-01,1
249,2,14,2026-04-01,1
250,2,14,2026-05-01,1
251,2,14,2026-06-01,1
252,2,14,2026-07-01,1
253,2,13,2025-08-01,1
254,2,13,2025-09-01,1
255,2,13,2025-10-01,1
256,2,13,2025-11-01,1
257,2,13,2025-12-01,1
258,2,13,2026-01-01,1
259,2,13,2026-02-01,1
260,2,13,2026-03-01,1
261,2,13,2026-04-01,1
262,2,13,2026-05-01,1
