par_id,site_id,product_id,par_qty,effective_start_date,effective_end_date
1,1,12,2,2025-08-01,
2,1,21,19,2025-08-01,
3,1,3,4,2025-08-01,
4,1,5,4,2025-08-01,
5,1,8,4,2025-08-01,
6,1,1,3,2025-08-01,
7,1,6,4,2025-08-01,
8,1,24,154,2025-08-01,
9,1,15,26,2025-08-01,
10,1,2,4,2025-08-01,
11,1,23,158,2025-08-01,
12,1,13,3,2025-08-01,
13,1,11,3,2025-08-01,
14,1,22,160,2025-08-01,
15,1,20,28,2025-08-01,
16,1,25,95,2025-08-01,
17,1,19,23,2025-08-01,
18,1,9,2,2025-08-01,
19,1,16,21,2025-08-01,
20,2,20,17,2025-08-01,
21,2,14,2,2025-08-01,
22,2,13,3,2025-08-01,
23,2,11,3,2025-08-01,
24,2,16,29,2025-08-01,
25,2,25,133,2025-08-01,
26,2,15,25,2025-08-01,
27,2,19,28,2025-08-01,
28,2,22,138,2025-08-01,
29,2,2,4,2025-08-01,
30,2,9,2,2025-08-01,
31,2,7,3,2025-08-01,
32,2,17,22,2025-08-01,
33,2,18,17,2025-08-01,
34,2,3,4,2025-08-01,
35,3,8,3,2025-08-01,
36,3,16,23,2025-08-01,
37,3,2,3,2025-08-01,
38,3,11,2,2025-08-01,
39,3,23,181,2025-08-01,
40,3,3,2,2025-08-01,
41,3,5,4,2025-08-01,
42,3,6,4,2025-08-01,
43,3,20,21,2025-08-01,
44,3,10,1,2025-08-01,
45,3,14,3,2025-08-01,
46,3,18,21,2025-08-01,
47,3,12,3,2025-08-01,
48,3,15,25,2025-08-01,
49,3,24,210,2025-08-01,
50,3,25,141,2025-08-01,
51,3,7,2,2025-08-01,
52,3,9,3,2025-08-01,
53,4,3,4,2025-08-01,
54,4,9,2,2025-08-01,
55,4,5,1,2025-08-01,
56,4,16,26,2025-08-01,
57,4,20,19,2025-08-01,
58,4,11,2,2025-08-01,
59,4,7,3,2025-08-01,
60,4,12,2,2025-08-01,
61,4,23,189,2025-08-01,
62,4,24,155,2025-08-01,
63,4,21,24,2025-08-01,
64,4,19,18,2025-08-01,
65,4,2,2,2025-08-01,
66,4,1,3,2025-08-01,
67,4,4,3,2025-08-01,
68,4,17,36,2025-08-01,
69,4,18,25,2025-08-01,
70,4,14,3,2025-08-01,
71,5,16,34,2025-08-01,
72,5,17,25,2025-08-01,
73,5,15,24,2025-08-01,
74,5,7,4,2025-08-01,
75,5,5,5,2025-08-01,
76,5,14,3,2025-08-01,
77,5,3,3,2025-08-01,
78,5,8,5,2025-08-01,
79,5,1,4,2025-08-01,
80,5,23,207,2025-08-01,
81,5,9,3,2025-08-01,
82,5,19,17,2025-08-01,
83,5,20,16,2025-08-01,
84,5,11,4,2025-08-01,
85,5,21,35,2025-08-01,
86,5,6,3,2025-08-01,
87,5,18,22,2025-08-01,
88,5,2,5,2025-08-01,
89,6,16,16,2025-08-01,
90,6,13,3,2025-08-01,
91,6,6,3,2025-08-01,
92,6,3,3,2025-08-01,
93,6,5,5,2025-08-01,
94,6,20,28,2025-08-01,
95,6,25,200,2025-08-01,
96,6,12,2,2025-08-01,
97,6,9,2,2025-08-01,
98,6,19,23,2025-08-01,
99,6,23,159,2025-08-01,
100,6,11,3,2025-08-01,
101,6,4,2,2025-08-01,
102,6,1,4,2025-08-01,
103,6,22,158,2025-08-01,
104,6,10,4,2025-08-01,
105,6,7,5,2025-08-01,
106,6,2,3,2025-08-01,
107,7,20,38,2025-08-01,
108,7,5,2,2025-08-01,
109,7,1,2,2025-08-01,
110,7,12,4,2025-08-01,
111,7,6,6,2025-08-01,
112,7,15,17,2025-08-01,
113,7,7,3,2025-08-01,
114,7,17,27,2025-08-01,
115,7,13,4,2025-08-01,
116,7,16,18,2025-08-01,
117,7,4,3,2025-08-01,
118,7,10,3,2025-08-01,
119,7,11,3,2025-08-01,
120,7,2,3,2025-08-01,
121,7,19,24,2025-08-01,
122,7,21,16,2025-08-01,
123,7,8,3,2025-08-01,
124,7,18,23,2025-08-01,
125,8,21,20,2025-08-01,
126,8,18,18,2025-08-01,
127,8,9,3,2025-08-01,
128,8,1,4,2025-08-01,
129,8,7,4,2025-08-01,
130,8,23,84,2025-08-01,
131,8,15,30,2025-08-01,
132,8,17,27,2025-08-01,
133,8,8,2,2025-08-01,
134,8,10,2,2025-08-01,
135,8,16,26,2025-08-01,
136,8,2,4,2025-08-01,
137,8,12,2,2025-08-01,
138,8,25,146,2025-08-01,
139,8,22,140,2025-08-01,
140,9,11,3,2025-08-01,
141,9,18,28,2025-08-01,
142,9,2,5,2025-08-01,
143,9,20,32,2025-08-01,
144,9,6,4,2025-08-01,
145,9,17,35,2025-08-01,
146,9,24,166,2025-08-01,
147,9,12,3,2025-08-01,
148,9,25,138,2025-08-01,
149,9,10,3,2025-08-01,
150,9,15,20,2025-08-01,
151,9,4,4,2025-08-01,
152,9,7,2,2025-08-01,
153,9,13,3,2025-08-01,
154,9,5,3,2025-08-01,
155,9,16,32,2025-08-01,
156,10,9,1,2025-08-01,
157,10,13,3,2025-08-01,
158,10,4,4,2025-08-01,
159,10,8,4,2025-08-01,
160,10,20,35,2025-08-01,
161,10,14,1,2025-08-01,
162,10,25,127,2025-08-01,
163,10,3,4,2025-08-01,
164,10,2,2,2025-08-01,
165,10,18,34,2025-08-01,
166,10,1,4,2025-08-01,
167,10,11,3,2025-08-01,
168,10,17,21,2025-08-01,
169,10,7,4,2025-08-01,
170,10,6,5,2025-08-01,
171,10,19,26,2025-08-01,
172,10,23,158,2025-08-01,
173,10,22,160,2025-08-01,
174,11,19,23,2025-08-01,
175,11,23,74,2025-08-01,
176,11,11,4,2025-08-01,
177,11,16,22,2025-08-01,
178,11,4,4,2025-08-01,
179,11,21,33,2025-08-01,
180,11,8,2,2025-08-01,
181,11,13,2,2025-08-01,
182,11,3,2,2025-08-01,
183,11,17,20,2025-08-01,
184,11,15,27,2025-08-01,
185,11,2,4,2025-08-01,
186,11,5,4,2025-08-01,
187,11,25,97,2025-08-01,
188,11,10,1,2025-08-01,
189,11,20,25,2025-08-01,
190,11,14,2,2025-08-01,
191,11,24,167,2025-08-01,
192,12,23,181,2025-08-01,
193,12,7,2,2025-08-01,
194,12,3,2,2025-08-01,
195,12,21,15,2025-08-01,
196,12,10,1,2025-08-01,
197,12,1,3,2025-08-01,
198,12,6,4,2025-08-01,
199,12,18,23,2025-08-01,
200,12,2,4,2025-08-01,
201,12,8,5,2025-08-01,
202,12,19,33,2025-08-01,
203,12,14,2,2025-08-01,
204,12,22,200,2025-08-01,
205,12,13,3,2025-08-01,
206,12,12,2,2025-08-01,
207,13,11,3,2025-08-01,
208,13,16,23,2025-08-01,
209,13,19,27,2025-08-01,
210,13,15,27,2025-08-01,
211,13,5,5,2025-08-01,
212,13,10,2,2025-08-01,
213,13,12,1,2025-08-01,
